,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,level_0,index,song,artist,track_id
867,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,audio_features,6Sy9BUbgFse0n0LPA5lwy5,spotify:track:6Sy9BUbgFse0n0LPA5lwy5,https://api.spotify.com/v1/tracks/6Sy9BUbgFse0n0LPA5lwy5,https://api.spotify.com/v1/audio-analysis/6Sy9BUbgFse0n0LPA5lwy5,225493,4,867,867,Sandstorm,Darude,6Sy9BUbgFse0n0LPA5lwy5
868,0.551,0.927,4,-3.202,0,0.0362,0.0669,0.946,0.576,0.771,128.0,audio_features,6GAp8kyxBdSF6BYbgByAhh,spotify:track:6GAp8kyxBdSF6BYbgByAhh,https://api.spotify.com/v1/tracks/6GAp8kyxBdSF6BYbgByAhh,https://api.spotify.com/v1/audio-analysis/6GAp8kyxBdSF6BYbgByAhh,182400,4,868,868,Again And Again - Radio Edit,Basto,6GAp8kyxBdSF6BYbgByAhh
869,0.543,0.803,7,-2.156,1,0.0498,0.00361,0.824,0.102,0.0621,127.943,audio_features,3vqWmOr3fIfBqh02ezS2lV,spotify:track:3vqWmOr3fIfBqh02ezS2lV,https://api.spotify.com/v1/tracks/3vqWmOr3fIfBqh02ezS2lV,https://api.spotify.com/v1/audio-analysis/3vqWmOr3fIfBqh02ezS2lV,354933,4,869,869,Blow Your Mind,Tiësto,3vqWmOr3fIfBqh02ezS2lV
870,0.604,0.755,0,-10.761,1,0.0337,0.000298,0.817,0.0625,0.387,137.064,audio_features,4wtR6HB3XekEengMX17cpc,spotify:track:4wtR6HB3XekEengMX17cpc,https://api.spotify.com/v1/tracks/4wtR6HB3XekEengMX17cpc,https://api.spotify.com/v1/audio-analysis/4wtR6HB3XekEengMX17cpc,243267,4,870,870,Children,Robert Miles,4wtR6HB3XekEengMX17cpc
871,0.651,0.95,1,-3.557,1,0.0658,0.000319,0.834,0.318,0.281,127.996,audio_features,3OxCH2MCz7Bc41doeIll80,spotify:track:3OxCH2MCz7Bc41doeIll80,https://api.spotify.com/v1/tracks/3OxCH2MCz7Bc41doeIll80,https://api.spotify.com/v1/audio-analysis/3OxCH2MCz7Bc41doeIll80,371250,4,871,871,Cake Face,Steve Aoki,3OxCH2MCz7Bc41doeIll80
872,0.593,0.907,7,-4.991,1,0.0684,0.00734,0.735,0.484,0.244,127.964,audio_features,4hfYGVqQ0ElgeibMocRUvi,spotify:track:4hfYGVqQ0ElgeibMocRUvi,https://api.spotify.com/v1/tracks/4hfYGVqQ0ElgeibMocRUvi,https://api.spotify.com/v1/audio-analysis/4hfYGVqQ0ElgeibMocRUvi,281667,4,872,872,Wizard,Martin Garrix,4hfYGVqQ0ElgeibMocRUvi
873,0.643,0.997,11,-1.656,1,0.0483,0.00205,0.672,0.659,0.555,128.004,audio_features,5lByoyTJti3jYo22bLQKOH,spotify:track:5lByoyTJti3jYo22bLQKOH,https://api.spotify.com/v1/tracks/5lByoyTJti3jYo22bLQKOH,https://api.spotify.com/v1/audio-analysis/5lByoyTJti3jYo22bLQKOH,234773,4,873,873,Burnin,Calvin Harris,5lByoyTJti3jYo22bLQKOH
874,0.923,0.842,11,-2.37,0,0.0663,0.000274,0.574,0.303,0.183,127.98,audio_features,7aIiDOQyCBA8yi1dozGojm,spotify:track:7aIiDOQyCBA8yi1dozGojm,https://api.spotify.com/v1/tracks/7aIiDOQyCBA8yi1dozGojm,https://api.spotify.com/v1/audio-analysis/7aIiDOQyCBA8yi1dozGojm,271875,4,874,874,Ode To Oi,TJR,7aIiDOQyCBA8yi1dozGojm
875,0.631,0.944,7,-4.628,0,0.0578,0.0825,0.875,0.247,0.463,130.01,audio_features,5Xhhp2oYeueCjTI06r6LHC,spotify:track:5Xhhp2oYeueCjTI06r6LHC,https://api.spotify.com/v1/tracks/5Xhhp2oYeueCjTI06r6LHC,https://api.spotify.com/v1/audio-analysis/5Xhhp2oYeueCjTI06r6LHC,221547,4,875,875,G.I.P.S.Y.,Dimitri Vegas,5Xhhp2oYeueCjTI06r6LHC
876,0.215,0.0223,7,-28.528,0,0.0432,0.991,0.922,0.105,0.253,166.528,audio_features,7JVjcxfs9CG6Ozlmibdrkl,spotify:track:7JVjcxfs9CG6Ozlmibdrkl,https://api.spotify.com/v1/tracks/7JVjcxfs9CG6Ozlmibdrkl,https://api.spotify.com/v1/audio-analysis/7JVjcxfs9CG6Ozlmibdrkl,195240,3,876,876,Whitby,Stephan Moccio,7JVjcxfs9CG6Ozlmibdrkl
877,0.2,0.293,10,-18.822,1,0.0364,0.0133,0.498,0.254,0.0417,149.445,audio_features,08ciGXj3HGPuY6jACqds83,spotify:track:08ciGXj3HGPuY6jACqds83,https://api.spotify.com/v1/tracks/08ciGXj3HGPuY6jACqds83,https://api.spotify.com/v1/audio-analysis/08ciGXj3HGPuY6jACqds83,183187,4,877,877,Future Love - Reimagined by Pêtr Aleksänder instrumental,Ride,08ciGXj3HGPuY6jACqds83
878,0.1,0.00784,2,-26.228,1,0.0453,0.98,0.0295,0.0938,0.0651,89.504,audio_features,1T3WTXFY6lQ0cPN1FUoGQ6,spotify:track:1T3WTXFY6lQ0cPN1FUoGQ6,https://api.spotify.com/v1/tracks/1T3WTXFY6lQ0cPN1FUoGQ6,https://api.spotify.com/v1/audio-analysis/1T3WTXFY6lQ0cPN1FUoGQ6,439533,4,878,878,"Klarinettenkonzert A-Dur, K. 622: 2. Adagio (Jenseits von Afrika): Clarinet Concerto in A Major, K. 622: II. Adagio",Wolfgang Amadeus Mozart,1T3WTXFY6lQ0cPN1FUoGQ6
879,0.366,0.336,8,-17.407,1,0.0367,0.968,0.934,0.0891,0.0542,140.037,audio_features,6quyqbfWoWG9iXrtYl8yG2,spotify:track:6quyqbfWoWG9iXrtYl8yG2,https://api.spotify.com/v1/tracks/6quyqbfWoWG9iXrtYl8yG2,https://api.spotify.com/v1/audio-analysis/6quyqbfWoWG9iXrtYl8yG2,367185,4,879,879,re:member,Ólafur Arnalds,6quyqbfWoWG9iXrtYl8yG2
880,0.184,0.207,2,-17.119,1,0.033,0.94,0.931,0.0772,0.089,79.979,audio_features,3xjaaBf7ef5TWermNspKOM,spotify:track:3xjaaBf7ef5TWermNspKOM,https://api.spotify.com/v1/tracks/3xjaaBf7ef5TWermNspKOM,https://api.spotify.com/v1/audio-analysis/3xjaaBf7ef5TWermNspKOM,251173,3,880,880,Bylur,Eydís Evensen,3xjaaBf7ef5TWermNspKOM
881,0.137,0.0704,10,-22.206,1,0.0429,0.99,0.98,0.0998,0.0379,90.407,audio_features,4jgazYikKO5Xhctuhc0snS,spotify:track:4jgazYikKO5Xhctuhc0snS,https://api.spotify.com/v1/tracks/4jgazYikKO5Xhctuhc0snS,https://api.spotify.com/v1/audio-analysis/4jgazYikKO5Xhctuhc0snS,169366,4,881,881,Deux Pensées,Darker In Vine,4jgazYikKO5Xhctuhc0snS
882,0.415,0.026,1,-36.7,1,0.0496,0.995,0.938,0.107,0.268,136.191,audio_features,1G3QPQkoXvpChjNUhd6Tfs,spotify:track:1G3QPQkoXvpChjNUhd6Tfs,https://api.spotify.com/v1/tracks/1G3QPQkoXvpChjNUhd6Tfs,https://api.spotify.com/v1/audio-analysis/1G3QPQkoXvpChjNUhd6Tfs,285443,4,882,882,The Arts and the Hours,Jean-Philippe Rameau,1G3QPQkoXvpChjNUhd6Tfs
883,0.426,0.00718,5,-32.265,1,0.0899,0.995,0.886,0.0739,0.266,71.215,audio_features,3WUgND9BFNDFEbkCB9AzHg,spotify:track:3WUgND9BFNDFEbkCB9AzHg,https://api.spotify.com/v1/tracks/3WUgND9BFNDFEbkCB9AzHg,https://api.spotify.com/v1/audio-analysis/3WUgND9BFNDFEbkCB9AzHg,194067,3,883,883,"Schumann: Kinderszenen, Op. 15 - 7. 梦幻曲",Robert Schumann,3WUgND9BFNDFEbkCB9AzHg
884,0.129,0.0169,0,-28.539,1,0.0436,0.943,0.851,0.106,0.0397,89.477,audio_features,67U3BF1e1PTw6DF1LLRPcF,spotify:track:67U3BF1e1PTw6DF1LLRPcF,https://api.spotify.com/v1/tracks/67U3BF1e1PTw6DF1LLRPcF,https://api.spotify.com/v1/audio-analysis/67U3BF1e1PTw6DF1LLRPcF,245107,4,884,884,Lilac,Emil Brandqvist,67U3BF1e1PTw6DF1LLRPcF
885,0.233,0.127,2,-28.498,1,0.0579,0.982,0.846,0.0932,0.0453,119.504,audio_features,6sEz1Cd0HVXRXuvIw9zAmK,spotify:track:6sEz1Cd0HVXRXuvIw9zAmK,https://api.spotify.com/v1/tracks/6sEz1Cd0HVXRXuvIw9zAmK,https://api.spotify.com/v1/audio-analysis/6sEz1Cd0HVXRXuvIw9zAmK,323933,3,885,885,Le onde,Ludovico Einaudi,6sEz1Cd0HVXRXuvIw9zAmK
886,0.0951,0.155,7,-20.447,0,0.0342,0.865,0.776,0.0922,0.138,163.072,audio_features,57YoIlL4U1khGfYI5JEBEk,spotify:track:57YoIlL4U1khGfYI5JEBEk,https://api.spotify.com/v1/tracks/57YoIlL4U1khGfYI5JEBEk,https://api.spotify.com/v1/audio-analysis/57YoIlL4U1khGfYI5JEBEk,159747,3,886,886,Wandering II,Eydís Evensen,57YoIlL4U1khGfYI5JEBEk
887,0.354,0.116,4,-28.692,0,0.0399,0.987,0.883,0.124,0.181,82.627,audio_features,36EnMgx9PmtnzUtmKwI63h,spotify:track:36EnMgx9PmtnzUtmKwI63h,https://api.spotify.com/v1/tracks/36EnMgx9PmtnzUtmKwI63h,https://api.spotify.com/v1/audio-analysis/36EnMgx9PmtnzUtmKwI63h,116960,4,887,887,"Goldberg Variations, BWV 988: Variation 1 (Arr. for Harp)",Johann Sebastian Bach,36EnMgx9PmtnzUtmKwI63h
888,0.201,0.0366,2,-27.261,0,0.052,0.961,0.166,0.082,0.0382,92.96,audio_features,2auuNbeUzVCaH3qWfImD6I,spotify:track:2auuNbeUzVCaH3qWfImD6I,https://api.spotify.com/v1/tracks/2auuNbeUzVCaH3qWfImD6I,https://api.spotify.com/v1/audio-analysis/2auuNbeUzVCaH3qWfImD6I,250000,4,888,888,"Sospiri, Op. 70 (Arr. Violin and Piano)",Edward Elgar,2auuNbeUzVCaH3qWfImD6I
889,0.128,0.0194,4,-24.941,1,0.0388,0.99,0.946,0.069,0.09,75.818,audio_features,0ehvSWC15JKhz5us5aOBjL,spotify:track:0ehvSWC15JKhz5us5aOBjL,https://api.spotify.com/v1/tracks/0ehvSWC15JKhz5us5aOBjL,https://api.spotify.com/v1/audio-analysis/0ehvSWC15JKhz5us5aOBjL,262413,1,889,889,much loved,Rachel Portman,0ehvSWC15JKhz5us5aOBjL
890,0.2,0.058,2,-26.123,0,0.0395,0.951,0.94,0.0891,0.0386,140.137,audio_features,4tiKvBdGo2KVVUazCIfWOE,spotify:track:4tiKvBdGo2KVVUazCIfWOE,https://api.spotify.com/v1/tracks/4tiKvBdGo2KVVUazCIfWOE,https://api.spotify.com/v1/audio-analysis/4tiKvBdGo2KVVUazCIfWOE,238333,1,890,890,Enigma,Hugar,4tiKvBdGo2KVVUazCIfWOE
891,0.193,0.17,9,-18.96,0,0.0342,0.964,0.919,0.0944,0.0901,76.874,audio_features,7925XkbGxCdaj8CRht1pJt,spotify:track:7925XkbGxCdaj8CRht1pJt,https://api.spotify.com/v1/tracks/7925XkbGxCdaj8CRht1pJt,https://api.spotify.com/v1/audio-analysis/7925XkbGxCdaj8CRht1pJt,249760,3,891,891,Sonoran,MJ Cole,7925XkbGxCdaj8CRht1pJt
892,0.357,0.0431,2,-25.461,1,0.0334,0.992,0.948,0.13,0.0698,131.976,audio_features,4xqay5NL9jPHSCP2mo3U67,spotify:track:4xqay5NL9jPHSCP2mo3U67,https://api.spotify.com/v1/tracks/4xqay5NL9jPHSCP2mo3U67,https://api.spotify.com/v1/audio-analysis/4xqay5NL9jPHSCP2mo3U67,313973,4,892,892,Le Jardin de Monsieur Monet,Stephan Moccio,4xqay5NL9jPHSCP2mo3U67
893,0.394,0.0045,0,-30.596,1,0.0494,0.981,0.931,0.12,0.0846,79.553,audio_features,79NexPR54Uygigj6OynSn0,spotify:track:79NexPR54Uygigj6OynSn0,https://api.spotify.com/v1/tracks/79NexPR54Uygigj6OynSn0,https://api.spotify.com/v1/audio-analysis/79NexPR54Uygigj6OynSn0,261315,4,893,893,K.A.H.D. - Home Session,Christian Badzura,79NexPR54Uygigj6OynSn0
894,0.366,0.145,6,-24.892,0,0.0378,0.926,0.483,0.331,0.0749,94.159,audio_features,5hJrBqOLUnMXNjDlAX67aP,spotify:track:5hJrBqOLUnMXNjDlAX67aP,https://api.spotify.com/v1/tracks/5hJrBqOLUnMXNjDlAX67aP,https://api.spotify.com/v1/audio-analysis/5hJrBqOLUnMXNjDlAX67aP,229000,5,894,894,Flow State Vestida 4,Danny Mulhern,5hJrBqOLUnMXNjDlAX67aP
895,0.299,0.0264,9,-26.535,0,0.0469,0.995,0.882,0.073,0.235,168.963,audio_features,6XmozAAnvBf2VtLL53AkX0,spotify:track:6XmozAAnvBf2VtLL53AkX0,https://api.spotify.com/v1/tracks/6XmozAAnvBf2VtLL53AkX0,https://api.spotify.com/v1/audio-analysis/6XmozAAnvBf2VtLL53AkX0,120457,5,895,895,Walk With Us - For Black Lives Matter,Alexis Ffrench,6XmozAAnvBf2VtLL53AkX0
896,0.386,0.07,7,-19.883,1,0.0384,0.984,0.912,0.0968,0.135,80.322,audio_features,4hAPJblcXnHnJgfkxncY9e,spotify:track:4hAPJblcXnHnJgfkxncY9e,https://api.spotify.com/v1/tracks/4hAPJblcXnHnJgfkxncY9e,https://api.spotify.com/v1/audio-analysis/4hAPJblcXnHnJgfkxncY9e,177467,3,896,896,January,Ola Gjeilo,4hAPJblcXnHnJgfkxncY9e
897,0.178,0.0418,1,-28.243,1,0.0441,0.979,0.89,0.109,0.075,178.259,audio_features,3KcxIhIMJD7jrsrpczNbfU,spotify:track:3KcxIhIMJD7jrsrpczNbfU,https://api.spotify.com/v1/tracks/3KcxIhIMJD7jrsrpczNbfU,https://api.spotify.com/v1/audio-analysis/3KcxIhIMJD7jrsrpczNbfU,229878,3,897,897,Solitude I,Tom Ashbrook,3KcxIhIMJD7jrsrpczNbfU
898,0.265,0.0163,4,-26.551,1,0.0397,0.994,0.911,0.0993,0.219,175.5,audio_features,4cOUlfphQg9EvowvpwABvg,spotify:track:4cOUlfphQg9EvowvpwABvg,https://api.spotify.com/v1/tracks/4cOUlfphQg9EvowvpwABvg,https://api.spotify.com/v1/audio-analysis/4cOUlfphQg9EvowvpwABvg,187013,3,898,898,In My Room,Brian Wilson,4cOUlfphQg9EvowvpwABvg
899,0.395,0.0465,11,-25.504,0,0.0383,0.978,0.923,0.0968,0.1,66.808,audio_features,1ByjUtjfHISyPBH1m4uhvT,spotify:track:1ByjUtjfHISyPBH1m4uhvT,https://api.spotify.com/v1/tracks/1ByjUtjfHISyPBH1m4uhvT,https://api.spotify.com/v1/audio-analysis/1ByjUtjfHISyPBH1m4uhvT,195193,4,899,899,Brotin,Eydís Evensen,1ByjUtjfHISyPBH1m4uhvT
